,Candidato,Número,Partido,Gênero,Naturalidade,Cor,Estado civil,Grau de instrução,Data de nascimento,Coalisão,Image URL,Idade,Total de recursos recebidos (R$),Fundo partidário,Fundo especial,Outros recursos,Recursos financeiros,Doação de pessoas físicas,Recursos estimáveis,Doação de partidos,Recursos próprios,Limite de gastos (R$),Total de despesas contratadas (R$),Total de despesas pagas (R$),Total de Bens Declarados,Vezes em que concorreu
46,CLAUDIO (COLETIVO CATARINENSE),12345,PDT,Feminino,FLORIANÓPOLIS / SC,parda,Solteira,Ensino Médio incompleto,1978-04-19,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292898.jpeg,46.0,11500.0,0.0,100.0,0.0,95.65,4.35,4.35,4.35,0.0,,,,300000.0,1
47,CLEBER DA ESCOLINHA,45999,PSDB,Feminino,CHAPECÓ / SC,branca,Casada,Ensino Médio completo,1976-01-17,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292430.jpeg,48.0,26000.0,0.0,96.15,3.85,100.0,0.0,0.0,0.0,3.85,253058.41,1000.0,1000.0,78349.45,0
48,CLEUSE SOARES,44445,UNIÃO,Feminino,FLORIANÓPOLIS / SC,preta,Casada,Superior completo,1980-06-02,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002148997.jpeg,44.0,19560.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,11986.0,11986.0,0.0,2
49,COMANDANTE BRASIL,10000,REPUBLICANOS,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1974-08-21,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947363.jpeg,50.0,33673.0,0.0,24.75,75.25,100.0,75.25,0.0,0.0,0.0,253058.41,26973.0,26973.0,1150000.0,1
50,CORONEL EDUPERCIO PRATES,22999,PL,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1964-07-13,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149657.jpeg,60.0,51700.0,0.0,96.71,3.29,100.0,0.0,0.0,0.0,3.29,253058.41,1672.0,1672.0,2092658.35,2
51,CORONEL MARAFIOTI,55888,PSD,Feminino,TUBARÃO / SC,branca,Casada,Superior completo,1964-08-13,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988767.jpeg,60.0,11600.0,0.0,86.21,13.79,100.0,13.79,0.0,0.0,0.0,,,,3169054.19,0
52,CORONEL PAIXÃO,44017,UNIÃO,Feminino,SÃO PAULO / SP,parda,Casada,Superior completo,1965-06-11,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149010.jpeg,59.0,24323.75,0.0,0.0,100.0,100.0,61.67,0.0,0.0,38.33,253058.41,21923.75,21923.75,459815.0,3
53,CRIS TIZOCO,43043,PV,Feminino,CAXIAS DO SUL / RS,preta,Solteira,Ensino Médio completo,1979-09-21,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149317.jpeg,45.0,129000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,111500.0,0.0,0.0,0
54,CRISTIANO DUTRA,30000,NOVO,Feminino,PORTO ALEGRE / RS,parda,Casada,Superior incompleto,1980-10-09,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911791.jpeg,43.0,15335.32,0.0,62.22,37.78,86.31,0.0,13.69,13.69,0.0,253058.41,5700.0,5700.0,44000.0,0
55,DALMO MENESES,44234,UNIÃO,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1951-07-19,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002148998.jpeg,73.0,56000.0,0.0,0.0,100.0,100.0,55.36,0.0,0.0,44.64,253058.41,9500.0,9500.0,2340000.0,5
